Model,Task Type,Success Count,Success Rate (%),Max Step Exceeded Rate (%),Average Trajectory Length,Average SPL (%),Total Episodes,Interaction Accuracy (%),Interaction Rate (%)
Random,Spatial QA,5,9.62,0.0,1.38,9.62,52,0.0,0.0
Random,Social Interaction,3,8.82,88.24,22.06,6.82,34,10.25,7.18
Random,Object Interaction,3,3.41,95.45,23.26,2.6,88,6.71,9.99
Random,Navigation,1,1.72,98.28,23.98,0.45,58,0.0,0.16
Random,Attribute QA,10,10.42,1.04,1.58,10.42,96,0.0,0.16
Qwen-VL-Plus,Spatial QA,7,13.46,0.0,1.5,13.46,52,0.0,0.0
Qwen-VL-Plus,Social Interaction,0,0.0,0.0,1.5,0.0,34,20.0,0.15
Qwen-VL-Plus,Object Interaction,0,0.0,0.0,2.05,0.0,88,4.08,0.56
Qwen-VL-Plus,Navigation,3,5.17,0.0,1.88,4.6,58,0.0,0.02
Qwen-VL-Plus,Attribute QA,17,17.71,0.0,1.92,17.71,96,0.0,0.01
Qwen-VL-Max,Spatial QA,17,32.69,9.62,9.23,26.85,52,0.0,0.0
Qwen-VL-Max,Social Interaction,4,11.76,85.29,21.0,10.23,34,12.4,3.56
Qwen-VL-Max,Object Interaction,11,12.5,87.5,22.61,6.94,88,9.76,6.75
Qwen-VL-Max,Navigation,21,36.21,63.79,19.55,26.31,58,0.0,0.0
Qwen-VL-Max,Attribute QA,42,43.75,16.67,9.52,36.91,96,0.0,0.02
Human,Spatial QA,52,100.0,0.0,10.1,100.0,52,0.0,0.0
Human,Social Interaction,34,100.0,0.0,12.44,100.0,34,0.0,0.0
Human,Object Interaction,88,100.0,0.0,12.88,100.0,88,0.0,0.0
Human,Navigation,58,100.0,0.0,10.91,100.0,58,0.0,0.0
Human,Attribute QA,96,100.0,0.0,8.36,100.0,96,0.0,0.0
GPT-4o-Mini,Spatial QA,12,23.08,28.85,13.73,20.13,52,0.0,0.0
GPT-4o-Mini,Social Interaction,2,5.88,91.18,22.53,4.78,34,23.08,2.68
GPT-4o-Mini,Object Interaction,14,15.91,81.82,22.28,9.44,88,27.17,2.89
GPT-4o-Mini,Navigation,18,31.03,67.24,19.45,23.98,58,0.0,0.02
GPT-4o-Mini,Attribute QA,31,32.29,28.12,13.28,24.16,96,0.0,0.04
GPT-4o,Spatial QA,18,34.62,3.85,8.46,31.03,52,0.0,0.0
GPT-4o,Social Interaction,7,20.59,70.59,20.18,13.55,34,14.94,5.12
GPT-4o,Object Interaction,20,22.73,72.73,20.52,16.16,88,17.58,6.01
GPT-4o,Navigation,16,27.59,60.34,18.52,18.48,58,12.5,0.14
GPT-4o,Attribute QA,38,39.58,5.21,8.21,33.59,96,20.0,0.05
Gemini-Pro,Spatial QA,18,34.62,3.85,8.46,31.06,52,0.0,0.0
Gemini-Pro,Social Interaction,4,11.76,76.47,21.56,4.99,34,26.47,2.0
Gemini-Pro,Object Interaction,10,11.36,78.41,21.48,6.25,88,33.33,1.94
Gemini-Pro,Navigation,6,10.34,75.86,20.81,7.39,58,0.0,0.0
Gemini-Pro,Attribute QA,40,41.67,7.29,6.86,37.16,96,100.0,0.04
Gemini-Flash,Spatial QA,15,28.85,0.0,3.46,28.85,52,0.0,0.0
Gemini-Flash,Social Interaction,6,17.65,79.41,20.85,12.93,34,27.84,5.18
Gemini-Flash,Object Interaction,19,21.59,77.27,20.77,15.09,88,15.33,4.67
Gemini-Flash,Navigation,13,22.41,70.69,20.45,12.08,58,0.0,0.26
Gemini-Flash,Attribute QA,38,39.58,1.04,3.82,37.45,96,10.0,0.1
